unit,unitLabel,quant,quantLabel
http://qudt.org/vocab/unit/BTU_IT-PER-MOL-DEG_F,BTU per Pound Mole Degree Fahrenheit,http://qudt.org/vocab/quantitykind/MolarHeatCapacity,Molar Heat Capacity
http://qudt.org/vocab/unit/BTU_IT-PER-SEC,BTU per Second,http://qudt.org/vocab/quantitykind/Power,Power
http://qudt.org/vocab/unit/BTU_IT-PER-SEC,BTU per Second,http://qudt.org/vocab/quantitykind/HeatFlowRate,Heat Flow Rate
http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT-DEG_R,British Thermal Unit (international Table) Per Second Foot Degree Rankine,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2,BTU per Second Square Foot,http://qudt.org/vocab/quantitykind/PowerPerArea,Power Per Area
http://qudt.org/vocab/unit/BTU_IT-PER-SEC-FT2-DEG_R,British Thermal Unit (international Table) Per Second Square Foot degree Rankine,http://qudt.org/vocab/quantitykind/CoefficientOfHeatTransfer,Coefficient of heat transfer
http://qudt.org/vocab/unit/BTU_MEAN,British Thermal Unit (mean),http://qudt.org/vocab/quantitykind/ThermalEnergy,Thermal Energy
http://qudt.org/vocab/unit/BTU_TH,British Thermal Unit (Thermochemical Definition),http://qudt.org/vocab/quantitykind/Energy,Energy
http://qudt.org/vocab/unit/BTU_TH,British Thermal Unit (Thermochemical Definition),http://qudt.org/vocab/quantitykind/ThermalEnergy,Thermal Energy
http://qudt.org/vocab/unit/BTU_TH-FT-PER-FT2-HR-DEG_F,BTU (TH) Foot per Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_TH-FT-PER-HR-FT2-DEG_F,British Thermal Unit (thermochemical) Foot Per Hour Square Foot degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-HR-DEG_F,BTU (TH) Inch per Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_TH-IN-PER-FT2-SEC-DEG_F,BTU (TH) Inch per Square Foot Second Degree Fahrenheit,http://qudt.org/vocab/quantitykind/ThermalConductivity,Thermal Conductivity
http://qudt.org/vocab/unit/BTU_TH-PER-FT3,British Thermal Unit (TH) Per Cubic Foot,http://qudt.org/vocab/quantitykind/EnergyDensity,Energy Density
http://qudt.org/vocab/unit/BTU_TH-PER-HR,British Thermal Unit (thermochemical) Per Hour,http://qudt.org/vocab/quantitykind/HeatFlowRate,Heat Flow Rate
http://qudt.org/vocab/unit/BTU_TH-PER-LB,British Thermal Unit (TH) Per Pound,http://qudt.org/vocab/quantitykind/SpecificEnergy,Specific Energy
http://qudt.org/vocab/unit/BTU_TH-PER-LB-DEG_F,British Thermal Unit (thermochemical) Per Pound Degree Fahrenheit,http://qudt.org/vocab/quantitykind/SpecificHeatCapacity,Specific Heat Capacity
http://qudt.org/vocab/unit/BTU_TH-PER-MIN,British Thermal Unit (thermochemical) Per Minute,http://qudt.org/vocab/quantitykind/HeatFlowRate,Heat Flow Rate
http://qudt.org/vocab/unit/BTU_TH-PER-SEC,British Thermal Unit (thermochemical) Per Second,http://qudt.org/vocab/quantitykind/HeatFlowRate,Heat Flow Rate
http://qudt.org/vocab/unit/BU_UK,bushel (UK),http://qudt.org/vocab/quantitykind/DryVolume,Dry Volume
http://qudt.org/vocab/unit/BU_UK-PER-DAY,Bushel (UK) Per Day,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BU_UK-PER-HR,Bushel (UK) Per Hour,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BU_UK-PER-MIN,Bushel (UK) Per Minute,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BU_UK-PER-SEC,Bushel (UK) Per Second,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BU_US,bushel (US),http://qudt.org/vocab/quantitykind/DryVolume,Dry Volume
http://qudt.org/vocab/unit/BU_US_DRY-PER-DAY,Bushel (US Dry) Per Day,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BU_US_DRY-PER-HR,Bushel (US Dry) Per Hour,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BU_US_DRY-PER-MIN,Bushel (US Dry) Per Minute,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BU_US_DRY-PER-SEC,Bushel (US Dry) Per Second,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BYR,Belarussian Ruble,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BYTE,Byte,http://qudt.org/vocab/quantitykind/InformationEntropy,Information Entropy
http://qudt.org/vocab/unit/BelizeDollar,Belize Dollar,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BermudaDollar,Bermuda Dollar,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BolivianMvdol,Bolivian Mvdol (Funds code),http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/Boliviano,Boliviano,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BrazilianReal,Brazilian Real,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BruneiDollar,Brunei Dollar,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BulgarianLev,Bulgarian Lev,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BurundianFranc,Burundian Franc,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/C-M,Coulomb Metre,http://qudt.org/vocab/quantitykind/ElectricDipoleMoment,Electric Dipole Moment
http://qudt.org/vocab/unit/C-M2,Coulomb Square Metre,http://qudt.org/vocab/quantitykind/ElectricQuadrupoleMoment,Electric Quadrupole Moment
http://qudt.org/vocab/unit/C-M2-PER-V,Coulomb Square Metre Per Volt,http://qudt.org/vocab/quantitykind/Polarizability,Polarizability
http://qudt.org/vocab/unit/C-PER-CentiM2,Coulomb Per Square Centimetre,http://qudt.org/vocab/quantitykind/ElectricChargePerArea,Electric charge per area
http://qudt.org/vocab/unit/C-PER-CentiM3,Coulomb Per Cubic Centimetre,http://qudt.org/vocab/quantitykind/ElectricChargeVolumeDensity,Electric Charge Volume Density
http://qudt.org/vocab/unit/C-PER-KiloGM,Coulomb per Kilogram,http://qudt.org/vocab/quantitykind/ElectricChargePerMass,Electric Charge Per Mass
http://qudt.org/vocab/unit/C-PER-KiloGM-SEC,Coulomb Per Kilogram Second,http://qudt.org/vocab/quantitykind/ExposureRate,Exposure Rate
http://qudt.org/vocab/unit/C-PER-M,Coulomb per Metre,http://qudt.org/vocab/quantitykind/ElectricChargeLineDensity,Electric Charge Line Density
http://qudt.org/vocab/unit/C-PER-M,Coulomb per Metre,http://qudt.org/vocab/quantitykind/ElectricChargeLinearDensity,Electric Charge Linear Density
http://qudt.org/vocab/unit/C-PER-M2,Coulomb per Square Metre,http://qudt.org/vocab/quantitykind/ElectricChargePerArea,Electric charge per area
http://qudt.org/vocab/unit/C-PER-M2,Coulomb per Square Metre,http://qudt.org/vocab/quantitykind/ElectricChargeSurfaceDensity,Electric Charge Surface Density
http://qudt.org/vocab/unit/C-PER-M2,Coulomb per Square Metre,http://qudt.org/vocab/quantitykind/ElectricPolarization,Electric Polarization
http://qudt.org/vocab/unit/C-PER-M3,Coulomb per Cubic Metre,http://qudt.org/vocab/quantitykind/ElectricChargeVolumeDensity,Electric Charge Volume Density
http://qudt.org/vocab/unit/C-PER-M3,Coulomb per Cubic Metre,http://qudt.org/vocab/quantitykind/ElectricChargeDensity,Electric Charge Density
http://qudt.org/vocab/unit/C-PER-MOL,Coulomb per Mole,http://qudt.org/vocab/quantitykind/ElectricChargePerAmountOfSubstance,Electric charge per amount of substance
http://qudt.org/vocab/unit/C-PER-MilliM2,Coulomb Per Square Millimetre,http://qudt.org/vocab/quantitykind/ElectricChargePerArea,Electric charge per area
http://qudt.org/vocab/unit/C-PER-MilliM3,Coulomb Per Cubic Millimetre,http://qudt.org/vocab/quantitykind/ElectricChargeVolumeDensity,Electric Charge Volume Density
http://qudt.org/vocab/unit/C2-M-PER-J,Square Coulomb Metre per Joule,http://qudt.org/vocab/quantitykind/Polarizability,Polarizability
http://qudt.org/vocab/unit/C3-M-PER-J2,Cubic Coulomb Metre per Square Joule,http://qudt.org/vocab/quantitykind/CubicElectricDipoleMomentPerSquareEnergy,Cubic Electric Dipole Moment per Square Energy
http://qudt.org/vocab/unit/C4-M4-PER-J3,Quartic Coulomb Metre per Cubic Energy,http://qudt.org/vocab/quantitykind/QuarticElectricDipoleMomentPerCubicEnergy,Quartic Electric Dipole Moment per Cubic Energy
http://qudt.org/vocab/unit/CAD,Canadian Dollar,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/CAL_15_DEG_C,Calorie (15 Degrees C),http://qudt.org/vocab/quantitykind/ThermalEnergy,Thermal Energy
http://qudt.org/vocab/unit/CAL_IT,International Table calorie,http://qudt.org/vocab/quantitykind/Energy,Energy
http://qudt.org/vocab/unit/CAL_IT,International Table calorie,http://qudt.org/vocab/quantitykind/ThermalEnergy,Thermal Energy
